Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides PNNL SC Chip 1 B	Peptides PNNL SC Chip 1 C	Peptides PNNL SC Chip1 A	Razor + unique peptides PNNL SC Chip 1 B	Razor + unique peptides PNNL SC Chip 1 C	Razor + unique peptides PNNL SC Chip1 A	Unique peptides PNNL SC Chip 1 B	Unique peptides PNNL SC Chip 1 C	Unique peptides PNNL SC Chip1 A	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity corrected 1 PNNL SC Chip 1 B	Reporter intensity corrected 2 PNNL SC Chip 1 B	Reporter intensity corrected 3 PNNL SC Chip 1 B	Reporter intensity corrected 4 PNNL SC Chip 1 B	Reporter intensity corrected 5 PNNL SC Chip 1 B	Reporter intensity corrected 6 PNNL SC Chip 1 B	Reporter intensity corrected 7 PNNL SC Chip 1 B	Reporter intensity corrected 8 PNNL SC Chip 1 B	Reporter intensity corrected 9 PNNL SC Chip 1 B	Reporter intensity corrected 10 PNNL SC Chip 1 B	Reporter intensity corrected 1 PNNL SC Chip 1 C	Reporter intensity corrected 2 PNNL SC Chip 1 C	Reporter intensity corrected 3 PNNL SC Chip 1 C	Reporter intensity corrected 4 PNNL SC Chip 1 C	Reporter intensity corrected 5 PNNL SC Chip 1 C	Reporter intensity corrected 6 PNNL SC Chip 1 C	Reporter intensity corrected 7 PNNL SC Chip 1 C	Reporter intensity corrected 8 PNNL SC Chip 1 C	Reporter intensity corrected 9 PNNL SC Chip 1 C	Reporter intensity corrected 10 PNNL SC Chip 1 C	Reporter intensity corrected 1 PNNL SC Chip1 A	Reporter intensity corrected 2 PNNL SC Chip1 A	Reporter intensity corrected 3 PNNL SC Chip1 A	Reporter intensity corrected 4 PNNL SC Chip1 A	Reporter intensity corrected 5 PNNL SC Chip1 A	Reporter intensity corrected 6 PNNL SC Chip1 A	Reporter intensity corrected 7 PNNL SC Chip1 A	Reporter intensity corrected 8 PNNL SC Chip1 A	Reporter intensity corrected 9 PNNL SC Chip1 A	Reporter intensity corrected 10 PNNL SC Chip1 A	Reporter intensity 1 PNNL SC Chip 1 B	Reporter intensity 2 PNNL SC Chip 1 B	Reporter intensity 3 PNNL SC Chip 1 B	Reporter intensity 4 PNNL SC Chip 1 B	Reporter intensity 5 PNNL SC Chip 1 B	Reporter intensity 6 PNNL SC Chip 1 B	Reporter intensity 7 PNNL SC Chip 1 B	Reporter intensity 8 PNNL SC Chip 1 B	Reporter intensity 9 PNNL SC Chip 1 B	Reporter intensity 10 PNNL SC Chip 1 B	Reporter intensity 1 PNNL SC Chip 1 C	Reporter intensity 2 PNNL SC Chip 1 C	Reporter intensity 3 PNNL SC Chip 1 C	Reporter intensity 4 PNNL SC Chip 1 C	Reporter intensity 5 PNNL SC Chip 1 C	Reporter intensity 6 PNNL SC Chip 1 C	Reporter intensity 7 PNNL SC Chip 1 C	Reporter intensity 8 PNNL SC Chip 1 C	Reporter intensity 9 PNNL SC Chip 1 C	Reporter intensity 10 PNNL SC Chip 1 C	Reporter intensity 1 PNNL SC Chip1 A	Reporter intensity 2 PNNL SC Chip1 A	Reporter intensity 3 PNNL SC Chip1 A	Reporter intensity 4 PNNL SC Chip1 A	Reporter intensity 5 PNNL SC Chip1 A	Reporter intensity 6 PNNL SC Chip1 A	Reporter intensity 7 PNNL SC Chip1 A	Reporter intensity 8 PNNL SC Chip1 A	Reporter intensity 9 PNNL SC Chip1 A	Reporter intensity 10 PNNL SC Chip1 A	Reporter intensity count 1 PNNL SC Chip 1 B	Reporter intensity count 2 PNNL SC Chip 1 B	Reporter intensity count 3 PNNL SC Chip 1 B	Reporter intensity count 4 PNNL SC Chip 1 B	Reporter intensity count 5 PNNL SC Chip 1 B	Reporter intensity count 6 PNNL SC Chip 1 B	Reporter intensity count 7 PNNL SC Chip 1 B	Reporter intensity count 8 PNNL SC Chip 1 B	Reporter intensity count 9 PNNL SC Chip 1 B	Reporter intensity count 10 PNNL SC Chip 1 B	Reporter intensity count 1 PNNL SC Chip 1 C	Reporter intensity count 2 PNNL SC Chip 1 C	Reporter intensity count 3 PNNL SC Chip 1 C	Reporter intensity count 4 PNNL SC Chip 1 C	Reporter intensity count 5 PNNL SC Chip 1 C	Reporter intensity count 6 PNNL SC Chip 1 C	Reporter intensity count 7 PNNL SC Chip 1 C	Reporter intensity count 8 PNNL SC Chip 1 C	Reporter intensity count 9 PNNL SC Chip 1 C	Reporter intensity count 10 PNNL SC Chip 1 C	Reporter intensity count 1 PNNL SC Chip1 A	Reporter intensity count 2 PNNL SC Chip1 A	Reporter intensity count 3 PNNL SC Chip1 A	Reporter intensity count 4 PNNL SC Chip1 A	Reporter intensity count 5 PNNL SC Chip1 A	Reporter intensity count 6 PNNL SC Chip1 A	Reporter intensity count 7 PNNL SC Chip1 A	Reporter intensity count 8 PNNL SC Chip1 A	Reporter intensity count 9 PNNL SC Chip1 A	Reporter intensity count 10 PNNL SC Chip1 A	Sequence coverage PNNL SC Chip 1 B [%]	Sequence coverage PNNL SC Chip 1 C [%]	Sequence coverage PNNL SC Chip1 A [%]	Intensity	Intensity PNNL SC Chip 1 B	Intensity PNNL SC Chip 1 C	Intensity PNNL SC Chip1 A	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A6NHQ2	A6NHQ2	2	1	1	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1	FBLL1	sp|A6NHQ2|FBLL1_HUMAN rRNA/tRNA	1	2	1	1	2	1	2	1	1	1	1	1	1	6.6	3.3	3.3	34.803	334	334	0.0012346	10.562	1050.3	1659.5	1888.5	1201.6	1960.7	1230.2	2881.9	4222.2	0	151770	1050.3	1659.5	1888.5	1201.6	1960.7	1230.2	2881.9	4222.2	0	151770	1	3	3	3	2	3	3	3	0	3	1050.3	494.14	561.89	452.18	1343.7	501.69	1027.2	1342.4	0	55839	0	364.9	815.83	420.68	0	315.9	978.51	1134.8	0	39155	0	800.43	510.82	328.78	616.95	412.62	876.18	1745	0	56772	1050.3	494.14	561.89	452.18	1343.7	501.69	1027.2	1342.4	0	55839	0	364.9	815.83	420.68	0	315.9	978.51	1134.8	0	39155	0	800.43	510.82	328.78	616.95	412.62	876.18	1745	0	56772	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	6.6	3.3	6.6	5530900	2580800	1119400	1830700	3				0	2377;4204	False;True	2395;4241	5528;5529;9758;9759;9760	5691;5692;10072;10073;10074	5691;10073		
P62308;A8MWD9	P62308;A8MWD9	1;1	1;1	1;1	Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15	SNRPG;SNRPGP15	sp|P62308|RUXG_HUMAN Small;sp|A8MWD9|RUXGL_HUMAN Putative	2	1	1	1	1	1	1	1	1	1	1	1	1	9.2	9.2	9.2	8.496	76	76;76	0.0084112	5.9308	5461.6	6257.7	31580	8218.8	9627.8	8160.9	6223.7	8257	303.57	239790	5461.6	6257.7	31580	8218.8	9627.8	8160.9	6223.7	8257	303.57	239790	3	3	3	3	3	3	3	3	1	3	2190.8	1862.3	9616.3	3213.3	3066.6	3033	2571.1	3622	303.57	90809	1716.6	2430.7	9088.3	2198	3122.4	3105.6	2119.7	2676	0	87423	1554.2	1964.7	12875	2807.5	3438.8	2022.3	1532.9	1959	0	61560	2190.8	1862.3	9616.3	3213.3	3066.6	3033	2571.1	3622	303.57	90809	1716.6	2430.7	9088.3	2198	3122.4	3105.6	2119.7	2676	0	87423	1554.2	1964.7	12875	2807.5	3438.8	2022.3	1532.9	1959	0	61560	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	9.2	9.2	9.2	5968800	2291500	1262700	2414600	3				1	181	TRUE	183	420;421;422	434;435;436	435		
Q99613;B5ME19	Q99613;B5ME19	4;4	4;4	4;4	Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3C;EIF3CL	sp|Q99613|EIF3C_HUMAN Eukaryotic;sp|B5ME19|EIFCL_HUMAN Eukaryotic	2	4	4	4	2	3	3	2	3	3	2	3	3	4.3	4.3	4.3	105.34	913	913;914	0	31.218	7377.8	9589.8	9791.8	12177	15704	12318	9848.3	19298	0	501220	7377.8	9589.8	9791.8	12177	15704	12318	9848.3	19298	0	501220	7	8	8	8	8	8	8	8	0	8	1954	1243.5	2545.1	3754.5	4397.7	3297.9	3224.2	5410.4	0	125900	2953.9	5299.6	4219.5	6111.1	7454.2	5536.5	3695	7940.4	0	243180	2469.8	3046.6	3027.2	2311.3	3852.6	3483.3	2929.1	5947.4	0	132140	1954	1243.5	2545.1	3754.5	4397.7	3297.9	3224.2	5410.4	0	125900	2953.9	5299.6	4219.5	6111.1	7454.2	5536.5	3695	7940.4	0	243180	2469.8	3046.6	3027.2	2311.3	3852.6	3483.3	2929.1	5947.4	0	132140	2	2	2	2	2	2	2	2	0	2	2	3	3	3	3	3	3	3	0	3	3	3	3	3	3	3	3	3	0	3	2.1	3.2	3.2	17677000	4989300	6413400	6273900	8				2	1118;1575;2671;3562	True;True;True;True	1133;1592;2691;3593	2674;3677;3678;3679;6210;8286;8287;8288	2774;3800;3801;3802;6398;8546;8547;8548	2774;3801;6398;8546		
C9JRZ8	C9JRZ8	1	1	1	Aldo-keto reductase family 1 member B15	AKR1B15	sp|C9JRZ8|AK1BF_HUMAN Aldo-keto	1	1	1	1	1	1	1	1	1	1	1	1	1	4.4	4.4	4.4	36.537	316	316	0.0012092	8.9462	4575.5	1981.3	6795.2	2544.4	2238.5	1213.4	645.3	4451.2	0	84992	4575.5	1981.3	6795.2	2544.4	2238.5	1213.4	645.3	4451.2	0	84992	3	3	3	3	3	3	2	3	0	3	1804.7	515.75	3138.1	1136.9	894.87	376.02	0	1342	0	35117	1200.9	956.3	2045.4	793.69	605.79	484.18	314.5	1384.3	0	21729	1569.8	509.24	1611.6	613.79	737.87	353.19	330.81	1724.9	0	28147	1804.7	515.75	3138.1	1136.9	894.87	376.02	0	1342	0	35117	1200.9	956.3	2045.4	793.69	605.79	484.18	314.5	1384.3	0	21729	1569.8	509.24	1611.6	613.79	737.87	353.19	330.81	1724.9	0	28147	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	4.4	4.4	4.4	2238300	650690	663390	924180	3				3	253	TRUE	255	594;595;596	612;613;614	612		
CON__ENSEMBL:ENSBTAP00000007350;CON__P01030;P39748;P0C0L5;P0C0L4	CON__ENSEMBL:ENSBTAP00000007350;CON__P01030	16;14;1;1;1	16;14;1;1;1	16;14;1;1;1			;	5	16	16	16	10	14	9	10	14	9	10	14	9	10.9	10.9	10.9	192.99	1742	1742;1741;380;1744;1744	0	120.6	51422	63919	40900	35192	52558	49550	50455	47771	0	1511400	51422	63919	40900	35192	52558	49550	50455	47771	0	1511400	34	30	28	28	34	31	35	35	0	36	26117	19645	21158	18786	29144	26183	28298	17054	0	526430	8146.8	28912	11395	9629.5	14304	16162	13902	18230	0	575910	17158	15361	8346.5	6776.8	9110.2	7205.8	8254.6	12487	0	409000	26117	19645	21158	18786	29144	26183	28298	17054	0	526430	8146.8	28912	11395	9629.5	14304	16162	13902	18230	0	575910	17158	15361	8346.5	6776.8	9110.2	7205.8	8254.6	12487	0	409000	11	5	8	8	10	8	10	11	0	11	13	15	13	13	15	14	15	14	0	15	10	10	7	7	9	9	10	10	0	10	6.8	9.9	5.3	43272000	15417000	17326000	10529000	37			+	4	282;418;1372;1707;1847;2601;2771;2776;2841;2951;3220;3744;4268;4396;4420;5023	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	283;425;1387;1724;1864;2621;2792;2797;2862;2975;3248;3776;4306;4436;4460;5069	664;665;975;3229;3230;3231;3978;4324;4325;6024;6025;6026;6424;6425;6441;6442;6603;6868;7508;7509;7510;8646;9917;9918;9919;10272;10273;10326;10327;10328;10329;11738;11739;11740	683;684;1020;3345;3346;3347;4113;4466;4467;6202;6203;6204;6205;6206;6620;6621;6638;6639;6809;7078;7740;7741;7742;7743;8913;10237;10238;10239;10616;10617;10671;10672;10673;10674;12126;12127;12128	684;1020;3347;4113;4466;6205;6621;6639;6809;7078;7742;8913;10237;10616;10674;12127		
CON__ENSEMBL:ENSBTAP00000016046;P23142	CON__ENSEMBL:ENSBTAP00000016046	6;1	6;1	6;1				2	6	6	6	2	2	6	2	2	6	2	2	6	11.8	11.8	11.8	77.456	706	706;703	0	38.084	1661.6	2014.8	4991	751.59	5169.4	3019	1849.5	6396.5	0	198310	1661.6	2014.8	4991	751.59	5169.4	3019	1849.5	6396.5	0	198310	4	4	4	2	8	6	2	10	0	10	0	0	271.51	0	923.88	483.81	0	1379.8	0	34743	0	295.57	0	0	1148.6	1129.1	0	891.6	0	27723	1661.6	1719.2	4719.5	751.59	3096.9	1406.1	1849.5	4125.1	0	135840	0	0	271.51	0	923.88	483.81	0	1379.8	0	34743	0	295.57	0	0	1148.6	1129.1	0	891.6	0	27723	1661.6	1719.2	4719.5	751.59	3096.9	1406.1	1849.5	4125.1	0	135840	0	0	1	0	2	1	0	2	0	2	0	1	0	0	2	2	0	2	0	2	4	3	3	2	4	3	2	6	0	6	4.4	4	11.8	5864400	1130400	1041100	3693000	10			+	5	174;512;817;1834;4025;4671	True;True;True;True;True;True	176;518;826;1851;4059;4713	407;1190;1191;1192;1904;1905;4295;4296;9346;10905	419;1249;1250;1251;1982;1983;4437;4438;9651;11278	419;1251;1982;4437;9651;11278		
CON__ENSEMBL:ENSBTAP00000024146;P01023;P20742	CON__ENSEMBL:ENSBTAP00000024146	40;5;2	40;5;2	40;5;2				3	40	40	40	31	31	32	31	31	32	31	31	32	35.2	35.2	35.2	164.34	1477	1477;1474;1482	0	323.31	152410	197380	127940	101490	152850	146840	132130	236320	2547	7609700	152410	197380	127940	101490	152850	146840	132130	236320	2547	7609700	103	97	97	89	100	98	106	111	6	114	49331	39232	44480	39061	55132	34772	45117	84544	1640.8	2753000	40697	96979	53403	41597	60384	80246	51190	83236	524.55	2592400	62387	61165	30060	20831	37335	31820	35826	68540	381.65	2264300	49331	39232	44480	39061	55132	34772	45117	84544	1640.8	2753000	40697	96979	53403	41597	60384	80246	51190	83236	524.55	2592400	62387	61165	30060	20831	37335	31820	35826	68540	381.65	2264300	35	24	32	32	35	32	35	37	4	38	32	36	34	32	33	34	37	38	1	38	36	37	31	25	32	32	34	36	1	38	28.4	24.6	27.8	436170000	152050000	139160000	144970000	115			+	6	26;143;194;402;419;719;830;1470;1563;1610;1807;1851;1881;1968;2099;2311;2768;2830;2892;3082;3221;3320;3460;3491;3536;3633;3637;3833;3872;3943;4064;4244;4487;4673;4691;4694;4862;4886;4967;4990	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	26;144;196;409;426;726;840;1486;1580;1627;1824;1868;1897;1984;2117;2329;2789;2851;2915;3109;3249;3350;3490;3521;3566;3664;3668;3867;3906;3977;4098;4281;4527;4715;4733;4736;4906;4930;5012;5036	59;60;331;332;333;456;930;931;932;933;934;976;1669;1670;1671;1942;1943;1944;3434;3435;3436;3651;3652;3653;3764;3765;3766;4236;4237;4238;4336;4337;4338;4339;4340;4341;4399;4618;4909;5389;5390;5391;5392;5393;6417;6418;6578;6579;6723;6724;6725;7180;7181;7182;7183;7511;7512;7513;7749;8059;8122;8123;8124;8125;8126;8127;8235;8419;8420;8421;8428;8429;8850;8851;8852;8853;8854;8855;8944;8945;8946;9126;9127;9128;9129;9440;9441;9860;9861;9862;10484;10485;10486;10908;10909;10910;10947;10948;10949;10953;10954;11351;11352;11413;11414;11616;11666;11667;11668	61;62;337;338;339;470;972;973;974;975;976;977;1021;1742;1743;1744;2025;2026;2027;2028;3553;3554;3555;3773;3774;3775;3776;3890;3891;3892;4378;4379;4380;4478;4479;4480;4481;4482;4483;4543;4768;5062;5549;5550;5551;5552;5553;6613;6614;6782;6783;6932;6933;6934;7396;7397;7398;7399;7400;7744;7745;7746;7986;8307;8375;8376;8377;8378;8379;8380;8493;8681;8682;8683;8690;8691;9127;9128;9129;9130;9131;9132;9223;9224;9225;9412;9413;9414;9415;9746;9747;10177;10178;10179;10842;10843;10844;10845;10846;11281;11282;11283;11320;11321;11322;11326;11327;11729;11730;11792;11793;12001;12053;12054;12055	62;337;470;972;1021;1744;2026;3553;3776;3892;4379;4480;4543;4768;5062;5551;6614;6782;6933;7396;7744;7986;8307;8378;8493;8682;8690;9129;9223;9412;9746;10177;10843;11282;11321;11327;11730;11793;12001;12054	0	607
CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533;O43790;P78385;Q14533;CON__Q61726;CON__P78386;A6NCN2;P78386	CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533;O43790;P78385;Q14533;CON__Q61726;CON__P78386;A6NCN2;P78386	4;4;4;4;4;4;4;2;2;2;2	3;3;3;3;3;3;3;1;1;2;1	3;3;3;3;3;3;3;1;1;2;1	"Keratin, type II cuticular Hb6;Keratin, type II cuticular Hb3;Keratin, type II cuticular Hb1;Putative keratin-87 protein;Keratin, type II cuticular Hb5"	KRT86;KRT83;KRT81;KRT87P;KRT85	";;;;sp|O43790|KRT86_HUMAN Keratin,;sp|P78385|KRT83_HUMAN Keratin,;sp|Q14533|KRT81_HUMAN Keratin,;;;sp|A6NCN2|KR87P_HUMAN Putative;sp|P78386|KRT85_HUMAN Keratin,"	11	4	3	3	1	1	4	0	0	3	0	0	3	11.3	9.9	9.9	53.5	486	486;493;493;505;486;493;505;479;507;255;507	0	21.644	1555.1	2365.4	1644.9	3975.2	3896.5	4117.7	6248.7	1569	286.05	27128	1555.1	2365.4	1644.9	3975.2	3896.5	4117.7	6248.7	1569	286.05	27128	2	2	2	2	2	1	2	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1555.1	2365.4	1644.9	3975.2	3896.5	4117.7	6248.7	1569	286.05	27128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1555.1	2365.4	1644.9	3975.2	3896.5	4117.7	6248.7	1569	286.05	27128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	1	2	2	1	3	1.4	1.4	11.3	2173200	0	0	2173200	3			+	7	1416;2515;2583;3703	False;True;True;True	1431;2534;2603;3735	3323;3324;3325;3326;3327;3328;5831;5986;8566	3439;3440;3441;3442;3443;3444;6005;6164;8831	3440;6005;6164;8831		
CON__P00761;Q9BYE2	CON__P00761	5;1	5;1	4;0				2	5	5	4	5	5	5	5	5	5	4	4	4	26.4	26.4	22.9	24.409	231	231;586	0	104.63	1045400	993830	1044700	1010500	1056900	1078300	1053100	144850	23908	3429000	1045400	993830	1044700	1010500	1056900	1078300	1053100	144850	23908	3429000	24	23	23	23	23	24	24	22	16	24	404130	408810	421770	420350	438010	423660	393660	38308	7471.1	822220	275220	276990	302830	278750	312460	341940	387370	84132	10934	2199200	366020	308040	320110	311380	306380	312740	272100	22410	5503.3	407500	404130	408810	421770	420350	438010	423660	393660	38308	7471.1	822220	275220	276990	302830	278750	312460	341940	387370	84132	10934	2199200	366020	308040	320110	311380	306380	312740	272100	22410	5503.3	407500	8	8	8	8	8	8	8	8	6	8	8	8	8	8	7	8	8	7	6	8	8	7	7	7	8	8	8	7	4	8	26.4	26.4	26.4	1480200000	512940000	360350000	606940000	24			+	8	2640;2914;3147;4368;4386	True;True;True;True;True	2660;2938;3174;4408;4426	6131;6132;6133;6134;6135;6765;6766;6767;7339;7340;7341;10186;10187;10188;10240;10241;10242;10243;10244	6314;6315;6316;6317;6318;6974;6975;6976;7565;7566;7567;7568;10523;10524;10525;10526;10527;10528;10529;10582;10583;10584;10585;10586	6315;6975;7566;10529;10585		
CON__P01966;P69905	CON__P01966;P69905	2;1	2;1	2;1	Hemoglobin subunit alpha	HBA1	;sp|P69905|HBA_HUMAN Hemoglobin	2	2	2	2	2	0	1	2	0	1	2	0	1	19.7	19.7	19.7	15.184	142	142;142	0	14.01	1619.2	1641.6	3379.3	2638.3	1959.4	1238.1	360.84	1820.7	0	43369	1619.2	1641.6	3379.3	2638.3	1959.4	1238.1	360.84	1820.7	0	43369	2	2	2	2	2	2	1	2	0	2	581.9	320.71	913.7	449.21	497.74	509.82	0	693.14	0	17044	0	0	0	0	0	0	0	0	0	0	1037.3	1320.9	2465.6	2189.1	1461.6	728.29	360.84	1127.6	0	26326	581.9	320.71	913.7	449.21	497.74	509.82	0	693.14	0	17044	0	0	0	0	0	0	0	0	0	0	1037.3	1320.9	2465.6	2189.1	1461.6	728.29	360.84	1127.6	0	26326	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	19.7	0	8.5	2047200	481490	0	1565700	3			+	9	1405;4330	True;True	1420;4370	3299;3300;10076	3415;3416;10405	3415;10405		
